1561283616538624	260505	NULL	4	NULL	1	NULL	NULL	19	NULL	送友人 李 白 青山横北郭，白水绕东城。 此地一为别，孤蓬万里征。 浮云游子意，落日故人情。 挥手自兹去，萧萧班马鸣。 1. 这首诗是如何借助“孤蓬”“浮云”这些物象来表现“游子意”的？请简要分析。 2. 这首诗寄寓了怎样的“故人情”？	NULL	1. 飞蓬离根后随风而去，不知何处落脚，写出游子旅途漫漫，前途未定；浮云飘忽不定，写出游子行踪不定。 2. 送别友人时的依依惜别之情；对友人漫长孤独旅程和未来命运的深切关怀。	NULL	(1)题详解： 试题分析：这是一道意象的特殊的含义的分析的题目，注意分析所选意象的某些特征和“游子”的哪些心情相关，飞蓬——不知何处落脚，写出游子旅途漫漫，前途未定；浮云飘忽不定，写出游子行踪不定；班马为离群之马，分手之际，萧萧长鸣，写出游子离别友人的孤独和惆怅。 考点：鉴赏文学作品的形象、语言和表达技巧。能力层级为鉴赏评价D。 (2)题详解： 试题分析：这是一道考核诗歌情感的题目，注意标题、注释和诗中的关键的表情达意的词语，标题是“送友人”应该有离别之情，“浮云”“孤蓬”应该是别后友人的处境，可见关怀、牵挂之情。最后一句“萧萧班马鸣”应该是长久的注视友人，一直到不见，应该是对友人的依依惜别之情。 考点：评价文章的思想内容和作者的观点态度。能力层级为鉴赏评价D	NULL	NULL	2025-05-23 21:30:19	NULL	1970-01-01 00:00:00	NULL	NULL	0	NULL	NULL	NULL	NULL
1561299940532224	1001	NULL	3	NULL	1	NULL	NULL	18	NULL	下列句子中没有语病的一项是（ ） A. 近年来科学家发现了一种憎水玻璃，为戴眼镜的人解除了苦恼。 B. 校长、副校长和其他学校领导出席了这届毕业典礼。 C. 只有对老师所提的问题理解到位，就能回答得清楚明了。 D. 目前，中国运载火箭技术研究院已经启动长征九号的关键技术研制。	NULL	D	["D"]	【详解】 A．偷换主语，后一句的主语应为“憎水玻璃”，在“为”前面加上“这种玻璃”； B．表意不明，“其他学校领导”是“学校的其他领导”还是 “其他学校的领导”不清楚； C．关联词错误，“只有…才”或“只要…就”，将“就”改为“才”。 故选D。	NULL	NULL	2024-11-26 08:56:11	NULL	1970-01-01 00:00:00	NULL	NULL	0	NULL	NULL	NULL	NULL
1561373622632448	261104	NULL	4	NULL	1	NULL	NULL	17	NULL	下列各组词语中，字形无误的一组是（ ） A. 水藻 挑衅 河畔 无耻澜言 B. 惋惜 凄宛 踯躅 春意阑珊 C. 笙箫 朔风 漫溯 波澜不惊 D. 竹篙 蒿草 仿徨 色彩斑斓	NULL	C	["C"]	【详解】 本题考查学生识记现代汉语字形的能力。 A. “无耻澜言”的“澜”应为“谰”。 B. “凄宛”的“宛”应为“婉”。 D. “仿徨”的“仿”应为“彷”。 故选 C 。	NULL	NULL	2025-07-09 08:54:03	NULL	1970-01-01 00:00:00	NULL	NULL	0	NULL	NULL	NULL	NULL
1566541463633920	106	NULL	2	NULL	1	NULL	NULL	17	NULL	选一选，写一写。	NULL	个 只 双 句 口 头	["个", "只", "双", "句", "口", "头"]	【详解】 本题考查量词填空。 鸟窝的量词是：个； 喜鹊的量词是：只； 手的量词是：双； 话的量词是：句； 水的量词是：口； 牛的量词是：头。	NULL	NULL	2025-07-03 17:14:43	NULL	1970-01-01 00:00:00	NULL	NULL	0	NULL	NULL	NULL	NULL
1566787235438592	1205	NULL	3	NULL	3	NULL	NULL	19	NULL	—I want to ______ as Monkey King. —That’s a good idea. A. wear B. dress up C. put on D. have	NULL	B	["B"]	【详解】 试题分析：句意：我想装扮成美猴王。——好主意。A. wear穿，强调状态；B. dress up 打扮，装扮；C. put on穿。强调动作；D. have有。dress up as装扮成……。依据句意，故答案为B。 考点：考查动词词组辨析。	NULL	NULL	2024-12-02 09:53:22	NULL	1970-01-01 00:00:00	3570248355921920	NULL	0	NULL	NULL	NULL	NULL
1566801391747072	121601	NULL	3	NULL	3	NULL	NULL	19	NULL	阅读填空 What can kites do for us? You might think they are just for fun, but kites can do a lot more. Picture taking: In the 1880s, when there were no airplanes, people used kites to take photos from the air. Those kites carried cameras. People also used them in war. In this way, they got to know more about their enemies. Science studies: In the early 1900s, scientists from the United States put machines into kites. They used them to learn about the weather. Life saving: Once some lifeboats on ships from the United States had kites on them. They could send radio messages from the kites. This made it much easier to find people lost at sea. Fishing: In Asia, people have been using kites for fishing for hundreds of years. Fishing with a kite is far better than you might think. Using a kite, you can place the hook ( 鱼钩 ) further away. You can also put it into the water slowly so it will not frighten the fish. Advertising: Advertisements aren’t just on TV. They can also be on kites! These kites usually carry the name of a product ( 产品 ) or a company. Advertising kites come in many shapes and bright colors. Some even look like the products! What to do How to do it Advantages ( 优势 ) Picture taking Take photos from the air. Use kites __(1)__ of airplanes. Science studies Put machines into kites. Help to learn about the __(2)__ . Life saving Send radio __(3)__ from the kites. Make it easier to find lost people. Fishing Place the hook slowly into further water. Be able to fish further away; Be able not to __(4)__ fish. Advertising Make kites with names of products and companies on them. Make kites __(5)__ like the products. Draw more people’s attention ( 注意 ).	NULL	1. instead 2. weather 3. messages 4. frighten 5. look	["instead", "weather", "messages", "frighten", "look"]	【导语】 本文从拍照、科学研究、救生、钓鱼、广告等方面介绍了风筝可以用来做更多的事。 (1)题详解： 根据“Picture taking: In the 1880s, when there were no airplanes, people used kites to take photos from the air.”可知人们利用风筝而不是飞机在空中拍照，instead of“而不是”。故填instead。 (2)题详解： 根据“They used them to learn about the weather.”可知科学家们用风筝来了解天气。故填weather。 (3)题详解： 根据“They could send radio messages from the kites.”可知他们可以通过风筝发送广播消息。故填messages。 (4)题详解： 根据“Using a kite, you can place the hook further away. You can also put it into the water slowly so it will not frighten the fish.”可知使用一个风筝，你可以把钩放到更远处。你也可以慢慢地把它伸入水而不会吓到鱼。故填frighten。 (5)题详解： 根据“These kites usually carry the name of a product or a company. Advertising kites come in many shapes and bright colors. Some even look like the products!”可知有些风筝甚至看起来像产品，make后接省略to的动词不定式作宾语补足语。故填look。	NULL	NULL	2024-11-30 11:46:39	NULL	1970-01-01 00:00:00	NULL	NULL	0	NULL	NULL	NULL	NULL
1566899415801856	2803	NULL	4	NULL	3	NULL	NULL	18	NULL	The three sisters decided to hold a family party to _______their parents’ silver wedding . A. celebrate B. memorize C. congratulate D. welcome	NULL	A	["A"]	【分析】 【详解】 考查词义辨析：句意： 三个姐妹决定举行家庭聚会庆祝父母的银婚。celebrate庆祝，memorize记忆，congratulate祝贺，welcome欢迎，举办派对目的为了庆祝。选A。 【点睛】	NULL	NULL	2025-01-12 15:42:49	NULL	1970-01-01 00:00:00	3618370521735168	NULL	0	NULL	NULL	NULL	NULL
1568110736089088	30101	NULL	2	NULL	3	NULL	NULL	17	NULL	Where are the ? （ ） A. fruit B. vegetables C. vegetable	NULL	B	["B"]	【详解】 略	NULL	NULL	2025-06-05 10:43:57	NULL	1970-01-01 00:00:00	2826457404620800	NULL	0	NULL	NULL	NULL	NULL
1568111405129728	30101	NULL	2	NULL	3	NULL	NULL	17	NULL	My father is a . ( ) A. boy B. girl C. doctor	NULL	C	["C"]	【详解】	NULL	NULL	2025-06-05 10:43:57	NULL	1970-01-01 00:00:00	2826457404620800	NULL	0	NULL	NULL	NULL	NULL
1568112733954048	30101	NULL	2	NULL	3	NULL	NULL	17	NULL	___bag is new and ___is new, too. ( ) A. Our; he B. Ours; his C. My; his D. My; her	NULL	C	["C"]	【详解】 句意：我的包是新的，他的包也是新的。形容词性物主代词 + 名词，名词性物主代词独立使用，充当名词 选 C 。	NULL	NULL	2025-02-13 17:38:49	NULL	1970-01-01 00:00:00	NULL	NULL	0	NULL	NULL	NULL	NULL
